katalogusszam,sap_rendelesi_szam,megnevezes,listaar_huf,statusz
011206,LG-011206,"DLP alu keret Program Mosaic 6 modulos, 65 mm fedélhez",9851,
011208,LG-011208,"DLP alu keret Program Mosaic 8 modulos, 65 mm fedélhez",10922,
011212,LG-011212,"DLP alu keret Program Mosaic 2 modulos, 85 mm fedélhez",7330,
011213,LG-011213,"DLP alu keret Program Mosaic 3 modulos, 65 mm fedélhez",6749,
011214,LG-011214,"DLP alu keret Program Mosaic 4 modulos, 85 mm fedélhez",8507,
011216,LG-011216,"DLP alu keret Program Mosaic 6 modulos, 85 mm fedélhez",11023,
011218,LG-011218,"DLP alu keret Program Mosaic 8 modulos, 85 mm fedélhez",12776,
011220,LG-011220,DLP alu belkönyök 60x105,55888,
011221,LG-011221,DLP alu belkönyök 50x105,59261,
011222,LG-011222,DLP alu belkönyök 65x105,62418,
011227,LG-011227,DLP alu belkönyök 50x150 2 rekesz,70639,
011228,LG-011228,DLP alu belkönyök 65x150 2 rekesz,71837,
011229,LG-011229,DLP alu belkönyök 50x195 2 rekesz,60751,
011231,LG-011231,DLP alu külkönyök 60x105,54122,
011232,LG-011232,DLP alu külkönyök 50x105,62027,
011238,LG-011238,DLP alu külkönyök 50x150 2 rekesz,54195,
011239,LG-011239,DLP alu külkönyök 65x150 2 rekesz,59135,
011240,LG-011240,DLP alu külkönyök 50x195 2 rekesz,65838,
011242,LG-011242,DLP alu kanyarelem 60x105,31261,
011243,LG-011243,DLP alu kanyarelem 50x105,33661,
011244,LG-011244,DLP alu kanyarelem 65x105,33924,
011245,LG-011245,DLP alu kanyarelem 50x150,29554,
011246,LG-011246,DLP alu kanyarelem 65x150,32047,
011247,LG-011247,DLP alu kanyarelem 50x195,32411,
011250,LG-011250,DLP alu T-elem 60x105,30671,
011251,LG-011251,DLP alu T-elem 50x150/195 85 mm fedélhez,15154,
011252,LG-011252,DLP alu T-elem 50x150/195 65 mm fedélhez,15551,
011253,LG-011253,DLP alu T-elem 65x105/195 85 mm fedélhez,15667,
011254,LG-011254,DLP alu T-elem 65x150/195 85 mm fedélhez,17650,
012001,LG-012001,"Lexic hengeres olvadóbiztosító 1A aM 8,5 x31,5 ütőszeg nélkül",965,
012002,LG-012002,"Lexic hengeres olvadóbiztosító 2A aM 8,5 x31,5 ütőszeg nélkül",965,
012004,LG-012004,"Lexic hengeres olvadóbiztosító 4A aM 8,5 x31,5 ütőszeg nélkül",965,
012006,LG-012006,"Lexic hengeres olvadóbiztosító 6A aM 8,5 x31,5 ütőszeg nélkül",965,
012008,LG-012008,"Lexic hengeres olvadóbiztosító 8A aM 8,5 x31,5 ütőszeg nélkül",965,
012010,LG-012010,"Lexic hengeres olvadóbiztosító 10A aM 8,5 x31,5 ütőszeg nélkül",994,
012301,LG-012301,"Lexic hengeres olvadóbiztosító 1A gG 8,5 x31,5 kiolvadás jelző nélkül",950,
012302,LG-012302,"Lexic hengeres olvadóbiztosító 2A gG 8,5 x31,5 kiolvadás jelző nélkül",919,
012304,LG-012304,"Lexic hengeres olvadóbiztosító 4A gG 8,5 x31,5 kiolvadás jelző nélkül",992,
012306,LG-012306,"Lexic hengeres olvadóbiztosító 6A gG 8,5 x31,5 kiolvadás jelző nélkül",950,
012308,LG-012308,"Lexic hengeres olvadóbiztosító 8A gG 8,5 x31,5 kiolvadás jelző nélkül",1062,
012310,LG-012310,"Lexic hengeres olvadóbiztosító 10A gG 8,5 x31,5 kiolvadás jelző nélkül",977,
012312,LG-012312,"Lexic hengeres olvadóbiztosító 12A gG 8,5 x31,5 kiolvadás jelző nélkül",997,
012316,LG-012316,"Lexic hengeres olvadóbiztosító 16A gG 8,5 x31,5 kiolvadás jelző nélkül",919,
013001,LG-013001,Lexic hengeres olvadóbiztosító 1A aM 10 x38 ütőszeg nélkül,1270,
013002,LG-013002,Lexic hengeres olvadóbiztosító 2A aM 10 x38 ütőszeg nélkül,1015,
013004,LG-013004,Lexic hengeres olvadóbiztosító 4A aM 10 x38 ütőszeg nélkül,1002,
013006,LG-013006,Lexic hengeres olvadóbiztosító 6A aM 10 x38 ütőszeg nélkül,1002,
013008,LG-013008,Lexic hengeres olvadóbiztosító 8A aM 10 x38 ütőszeg nélkül,1047,
013010,LG-013010,Lexic hengeres olvadóbiztosító 10A aM 10 x38 ütőszeg nélkül,1015,
013012,LG-013012,Lexic hengeres olvadóbiztosító 12A aM 10 x38 ütőszeg nélkül,1047,
013016,LG-013016,Lexic hengeres olvadóbiztosító 16A aM 10 x38 ütőszeg nélkül,885,
013020,LG-013020,Lexic hengeres olvadóbiztosító 20A aM 10 x38 ütőszeg nélkül,885,
013025,LG-013025,Lexic hengeres olvadóbiztosító 25A aM 10 x38 ütőszeg nélkül,1396,
013092,LG-013092,"Lexic hengeres olvadóbiztosító 0,25A aM 10 x38 ütőszeg nélkül",1821,
013095,LG-013095,"Lexic hengeres olvadóbiztosító 0,5A aM 10 x38 ütőszeg nélkül",1482,
013301,LG-013301,Lexic hengeres olvadóbiztosító 1A gG 10 x38 kiolvadás jelző nélkül,1329,
013302,LG-013302,Lexic hengeres olvadóbiztosító 2A gG 10 x38 kiolvadás jelző nélkül,1329,
013304,LG-013304,Lexic hengeres olvadóbiztosító 4A gG 10 x38 kiolvadás jelző nélkül,1012,
013306,LG-013306,Lexic hengeres olvadóbiztosító 6A gG 10 x38 kiolvadás jelző nélkül,994,
013308,LG-013308,Lexic hengeres olvadóbiztosító 8A gG 10 x38 kiolvadás jelző nélkül,1012,
013310,LG-013310,Lexic hengeres olvadóbiztosító 10A gG 10 x38 kiolvadás jelző nélkül,994,
013312,LG-013312,Lexic hengeres olvadóbiztosító 12A gG 10 x38 kiolvadás jelző nélkül,1067,
013316,LG-013316,Lexic hengeres olvadóbiztosító 16A gG 10 x38 kiolvadás jelző nélkül,1047,
013320,LG-013320,Lexic hengeres olvadóbiztosító 20A gG 10 x38 kiolvadás jelző nélkül,1047,
013325,LG-013325,Lexic hengeres olvadóbiztosító 25A gG 10 x38 kiolvadás jelző nélkül,1063,
013394,LG-013394,"Lexic hengeres olvadóbiztosító 0,5A gG 10 x38 kiolvadás jelző nélkül",2094,
013402,LG-013402,Lexic hengeres olvadóbiztosító 2A gG 10 x38 kiolvadás jelzővel,2045,
013404,LG-013404,Lexic hengeres olvadóbiztosító 4A gG 10 x38 kiolvadás jelzővel,2085,
013406,LG-013406,Lexic hengeres olvadóbiztosító 6A gG 10 x38 kiolvadás jelzővel,2085,
013408,LG-013408,Lexic hengeres olvadóbiztosító 8A gG 10 x38 kiolvadás jelzővel,2045,
013410,LG-013410,Lexic hengeres olvadóbiztosító 10A gG 10 x38 kiolvadás jelzővel,2085,
013412,LG-013412,Lexic hengeres olvadóbiztosító 12A gG 10 x38 kiolvadás jelzővel,2133,
013416,LG-013416,Lexic hengeres olvadóbiztosító 16A gG 10 x38 kiolvadás jelzővel,2176,
013420,LG-013420,Lexic hengeres olvadóbiztosító 20A gG 10 x38 kiolvadás jelzővel,2176,
013425,LG-013425,Lexic hengeres olvadóbiztosító 25A gG 10 x38 kiolvadás jelzővel,2099,
014002,LG-014002,Lexic hengeres olvadóbiztosító 2A aM 14 x51 ütőszeg nélkül,2055,
014004,LG-014004,Lexic hengeres olvadóbiztosító 4A aM 14 x51 ütőszeg nélkül,2055,
014006,LG-014006,Lexic hengeres olvadóbiztosító 6A aM 14 x51 ütőszeg nélkül,2094,
014008,LG-014008,Lexic hengeres olvadóbiztosító 8A aM 14 x51 ütőszeg nélkül,2055,
014010,LG-014010,Lexic hengeres olvadóbiztosító 10A aM 14 x51 ütőszeg nélkül,2094,
014012,LG-014012,Lexic hengeres olvadóbiztosító 12A aM 14 x51 ütőszeg nélkül,2055,
014016,LG-014016,Lexic hengeres olvadóbiztosító 16A aM 14 x51 ütőszeg nélkül,2094,
014020,LG-014020,Lexic hengeres olvadóbiztosító 20A aM 14 x51 ütőszeg nélkül,2190,
014025,LG-014025,Lexic hengeres olvadóbiztosító 25A aM 14 x51 ütőszeg nélkül,2190,
014032,LG-014032,Lexic hengeres olvadóbiztosító 32A aM 14 x51 ütőszeg nélkül,2190,
014040,LG-014040,Lexic hengeres olvadóbiztosító 40A aM 14 x51 ütőszeg nélkül,2190,
014050,LG-014050,Lexic hengeres olvadóbiztosító 50A aM 14 x51 ütőszeg nélkül,2759,
014302,LG-014302,Lexic hengeres olvadóbiztosító 2A gG 14 x51 ütőszeg nélkül,2109,
014304,LG-014304,Lexic hengeres olvadóbiztosító 4A gG 14 x51 ütőszeg nélkül,2109,
014306,LG-014306,Lexic hengeres olvadóbiztosító 6A gG 14 x51 ütőszeg nélkül,2153,
014310,LG-014310,Lexic hengeres olvadóbiztosító 10A gG 14 x51 ütőszeg nélkül,2175,
014316,LG-014316,Lexic hengeres olvadóbiztosító 16A gG 14 x51 ütőszeg nélkül,2175,
014320,LG-014320,Lexic hengeres olvadóbiztosító 20A gG 14 x51 ütőszeg nélkül,2128,
014325,LG-014325,Lexic hengeres olvadóbiztosító 25A gG 14 x51 ütőszeg nélkül,2223,
014332,LG-014332,Lexic hengeres olvadóbiztosító 32A gG 14 x51 ütőszeg nélkül,2339,
014340,LG-014340,Lexic hengeres olvadóbiztosító 40A gG 14 x51 ütőszeg nélkül,2339,
014350,LG-014350,Lexic hengeres olvadóbiztosító 50A gG 14 x51 ütőszeg nélkül,2443,
014506,LG-014506,Lexic hengeres olvadóbiztosító 6A gG 14x51 kiolvadás jelzővel,2268,
014600,LG-014600,Lexic A mérő analóg ÁV csatlakoztatású 5A AC kerek kivágású,54637,
014601,LG-014601,Lexic A mérő analóg ÁV csatlakoztatású 5A AC négyzetes kivágású,52649,
014610,LG-014610,Lexic A mérőskála 0-50A,5836,
014613,LG-014613,Lexic A mérőskála 0-100A,5836,
014615,LG-014615,Lexic A mérőskála 0-200A,5836,
014616,LG-014616,Lexic A mérőskála 0-250A,5836,
014617,LG-014617,Lexic A mérőskála 0-300A,5836,
014618,LG-014618,Lexic A mérőskála 0-400A,6011,
014620,LG-014620,Lexic A mérőskála 0-600A,5836,
014621,LG-014621,Lexic A mérőskála 0-800A,6101,
014624,LG-014624,Lexic A mérőskála0-1500A,5836,
014625,LG-014625,Lexic A mérőskála0-2000A,5836,
014626,LG-014626,Lexic A mérőskála 0-2500A,5836,
014628,LG-014628,Lexic A mérőskála 0-4000A,5836,
014650,LG-014650,Lexic A mérő átkapcsoló 4 állású,40865,
014652,LG-014652,Lexic V mérő átkapcsoló 4 állású,32728,
014653,LG-014653,Lexic V mérő átkapcsoló 7 állású,37221,
014660,LG-014660,Lexic V mérő analóg 0-500V AC kerek kivágású,57119,
014661,LG-014661,Lexic V mérő analóg 0-500V AC négyzetes kivágású,51617,
014666,LG-014666,"Lexic A mérőskála 0-1250AA, V, W, VA, Hz, kWh",5836,
015016,LG-015016,Lexic hengeres olvadóbiztosító 16A aM 22 x58 ütőszeg nélkül,5429,
015020,LG-015020,Lexic hengeres olvadóbiztosító 20A aM 22 x58 ütőszeg nélkül,4129,
015025,LG-015025,Lexic hengeres olvadóbiztosító 25A aM 22 x58 ütőszeg nélkül,4202,
015032,LG-015032,Lexic hengeres olvadóbiztosító 32A aM 22 x58 ütőszeg nélkül,4202,
015040,LG-015040,Lexic hengeres olvadóbiztosító 40A aM 22 x58 ütőszeg nélkül,4202,
015050,LG-015050,Lexic hengeres olvadóbiztosító 50A aM 22 x58 ütőszeg nélkül,4202,
015063,LG-015063,Lexic hengeres olvadóbiztosító 63A aM 22 x58 ütőszeg nélkül,4202,
015080,LG-015080,Lexic hengeres olvadóbiztosító 80A aM 22 x58 ütőszeg nélkül,4202,
015096,LG-015096,Lexic hengeres olvadóbiztosító 100A aM 22 x58 ütőszeg nélkül,5429,
015097,LG-015097,Lexic hengeres olvadóbiztosító 125A aM 22 x58 ütőszeg nélkül,4522,
015310,LG-015310,Lexic hengeres olvadóbiztosító 10A gG 22 x58 ütőszeg nélkül,4198,
015316,LG-015316,Lexic hengeres olvadóbiztosító 16A gG 22 x58 ütőszeg nélkül,4081,
015320,LG-015320,Lexic hengeres olvadóbiztosító 20A gG 22 x58 ütőszeg nélkül,5258,
015325,LG-015325,Lexic hengeres olvadóbiztosító 25A gG 22 x58 ütőszeg nélkül,3999,
015332,LG-015332,Lexic hengeres olvadóbiztosító 32A gG 22 x58 ütőszeg nélkül,3999,
015340,LG-015340,Lexic hengeres olvadóbiztosító 40A gG 22 x58 ütőszeg nélkül,3999,
015350,LG-015350,Lexic hengeres olvadóbiztosító 50A gG 22 x58 ütőszeg nélkül,3999,
015363,LG-015363,Lexic hengeres olvadóbiztosító 63A gG 22 x58 ütőszeg nélkül,3999,
015380,LG-015380,Lexic hengeres olvadóbiztosító 80A gG 22 x58 ütőszeg nélkül,4244,
015396,LG-015396,Lexic hengeres olvadóbiztosító 100A gG 22 x58 ütőszeg nélkül,4244,
015397,LG-015397,Lexic hengeres olvadóbiztosító 125A gG 22 x58 ütőszeg nélkül,4682,
016025,LG-016025,Legrand késes 00 aM 40A betét,5491,
016030,LG-016030,Legrand késes 00 aM 50A betét,5491,
016035,LG-016035,Legrand késes 00 aM 63A betét,5491,
016040,LG-016040,Legrand késes 00 aM 80A betét,5491,
016045,LG-016045,Legrand késes 00 aM 100A betét,5491,
016050,LG-016050,Legrand késes 00 aM 125A betét,5491,
016304,LG-016304,Legrand rövidzárkés 00,4048,
016312,LG-016312,Legrand késes 00 gG 16A betét,5491,
016318,LG-016318,Legrand késes 00 gG 25A betét,5491,Készlet erejéig!
016320,LG-016320,Legrand késes 00 gG 32A betét,5478,Készlet erejéig!
016322,LG-016322,Legrand késes 00 gG 35A betét,5491,
016325,LG-016325,Legrand késes 00 gG 40A betét,5381,Készlet erejéig!
016330,LG-016330,Legrand késes 00 gG 50A betét,5381,
016335,LG-016335,Legrand késes betét 00 gG 63A ,5491,
016340,LG-016340,Legrand késes 00 gG 80A betét,5491,
016345,LG-016345,Legrand késes 00 gG 100A betét,5491,
016350,LG-016350,Legrand késes 00 gG 125A betét,5478,
016355,LG-016355,Legrand késes 00 gG 160A betét,5491,
016535,LG-016535,Legrand késes aljzat 0 AM 63A,5763,
016540,LG-016540,Legrand késes aljzat 0 AM 80A,5707,
016545,LG-016545,Legrand késes aljzat 0 AM 100A,5794,
016550,LG-016550,Legrand késes aljzat 0 AM 125A,5562,
016555,LG-016555,Legrand késes aljzat 0 AM 160A,7639,
016635,LG-016635,Legrand késes betét 0 aM 63A tüskés,11066,
016640,LG-016640,Legrand késes betét 0 aM 80A tüskés,10980,
016645,LG-016645,Legrand késes betét 0 aM 100A tüskés,10980,
016650,LG-016650,Legrand késes betét 0 aM 125A tüskés,11578,
016655,LG-016655,Legrand késes betét 0 aM 160A tüskés,11578,
016804,LG-016804,Legrand rövidzárkés 0,10116,
016835,LG-016835,Legrand késes 0 gG 63A betét,6883,
016840,LG-016840,Legrand késes 0 gG 80A betét,6879,
016845,LG-016845,Legrand késes 0 gG 100A betét,6879,
016855,LG-016855,Legrand késes 0 gG 160A betét,7750,
016860,LG-016860,Legrand késes 0 gG 200A betét,6640,
016935,LG-016935,Legrand késes 0 gG 63A betét - tüskés,11066,
016940,LG-016940,Legrand késes 0 gG 80A betét - tüskés,10848,
016945,LG-016945,Legrand késes 0 gG 100A betét - tüskés,11022,
016950,LG-016950,Legrand késes 0 gG 125A betét - tüskés,11578,
016955,LG-016955,Legrand késes 0 gG 160A betét - tüskés,11578,
017050,LG-017050,Legrand késes aljzat 1 aM 125A,10124,
017055,LG-017055,Legrand késes aljzat 1 aM 160A,10124,
017060,LG-017060,Legrand késes aljzat 1 aM 200A,10124,
017065,LG-017065,Legrand késes aljzat 1 aM 250A,11580,
017150,LG-017150,Legrand késes 1 aM 125A betét tüskés,12486,
017155,LG-017155,Legrand késes 1 aM 160A betét tüskés,12486,
017160,LG-017160,Legrand késes 1 aM 200A betét tüskés,12486,
017165,LG-017165,Legrand késes 1 aM 250A betét tüskés,12567,
017304,LG-017304,Legrand rövidzárkés 1,10910,
017350,LG-017350,Legrand késes 1 gG 125A betét,10550,Készlet erejéig!
017355,LG-017355,Legrand késes 1 gG 160A betét,10550,
017360,LG-017360,Legrand késes 1 gG 200A betét,10550,
017365,LG-017365,Legrand késes 1 gG 250A betét,10537,
017450,LG-017450,Legrand késes 1 gG 125A betét - tüskés,12592,
017455,LG-017455,Legrand késes 1 gG 160A betét - tüskés,12784,
017460,LG-017460,Legrand késes 1 gG 200A betét - tüskés,12592,
017465,LG-017465,Legrand késes 1 gG 250A betét - tüskés,12631,
017560,LG-017560,Legrand késes aljzat 2 AM 200A,12138,
017565,LG-017565,Legrand késes aljzat 2 AM 250A,11606,
017570,LG-017570,Legrand késes aljzat 2 AM 315A,11606,
017575,LG-017575,Legrand késes aljzat 2 AM 400A,13168,
017660,LG-017660,Legrand késes 2 aM 200A betét tüskés,13931,
017665,LG-017665,Legrand késes 2 aM 250A betét tüskés,13779,
017670,LG-017670,Legrand késes 2 aM 315A betét tüskés,14445,
017675,LG-017675,Legrand késes 2 aM 400A betét tüskés,18113,
017804,LG-017804,Legrand rövidzárkés 2,12364,
017860,LG-017860,Legrand késes 2 gG 200A betét,15837,
017865,LG-017865,Legrand késes 2 gG 250A betét,15837,
017870,LG-017870,Legrand késes 2 gG 315A betét,17384,
017875,LG-017875,Legrand késes 2 gG 400A betét,19312,
017960,LG-017960,Legrand késes 2 gG 200A betét - tüskés,17425,
017965,LG-017965,Legrand késes 2 gG 250A betét - tüskés,17425,
017970,LG-017970,Legrand késes 2 gG 315A betét - tüskés,19130,
017975,LG-017975,Legrand késes 2 gG 400A betét - tüskés,21580,
018075,LG-018075,Legrand késes 3 aM 500A betét tüskés,27094,
018080,LG-018080,Legrand késes 3 aM 630A betét tüskés,27539,
018104,LG-018104,Legrand rövidzárkés 3,30575,
018175,LG-018175,Legrand késes 3 gG 500A betét - tüskés,63350,
018180,LG-018180,Legrand késes 3 gG 630A betét - tüskés,63350,
018480,LG-018480,Legrand késes 4 aM 630A betét tüskés,63727,
018485,LG-018485,Legrand késes 4 aM 800A betét tüskés,65404,
018490,LG-018490,Legrand késes 4 aM 1000A betét tüskés,67200,
018504,LG-018504,Legrand rövidzárkés 4,70763,
018580,LG-018580,Legrand késes 4 gG 630A betét tüskés,65404,
018585,LG-018585,Legrand késes 4 gG 800A betét tüskés,66240,
018590,LG-018590,Legrand késes 4 gG 1000A betét tüskés,61927,
018595,LG-018595,Legrand késes 4 gG 1250A betét tüskés,68758,
019049,LG-019049,"Végzáró LED-es 82x12,5 mm csatornához",0,Megszűnt termék!
019902,LG-019902,Legrand késes betét kihúzófogantyú,21514,
019919,LG-019919,HRC válaszfal mikorkapcsoló nélküli aljzathoz - 4-es méret,8419,
019930,LG-019930,Legrand késes aljzat 000/00 válaszfal,1800,
019931,LG-019931,Legrand késes aljzat 0 válaszfal (2db) és sorolási kiegészítő (2db),3259,
019932,LG-019932,Legrand késes aljzat 1/2 válaszfal (2db) és sorolási kiegészítő (2db),4811,
019933,LG-019933,Legrand késes aljzat 3 válaszfal (2db) és sorolási kiegészítő (2db),6882,
019935,LG-019935,Legrand késes aljzat 000/00 1P érintésvédelmi készlet,5392,
019936,LG-019936,Legrand késes aljzat 0 1P érintésvédelmi készlet,8332,
019937,LG-019937,Legrand késes aljzat 1 1P érintésvédelmi készlet,14189,
019938,LG-019938,Legrand késes aljzat 2 1P érintésvédelmi készlet,14497,
019939,LG-019939,Legrand késes aljzat 000/00 3P érintésvédelmi készlet,16039,
019942,LG-019942,Legrand késes aljzat 000/00 1P 100A M8 kalapsínre is rögzíthető,9409,
019943,LG-019943,Legrand késes aljzat 000/00 3P 100A M8 kalapsínre is rözíthető,24268,
019944,LG-019944,Legrand késes aljzat 000/00 1P 160A M8 kalapsínre is rögzíthető,9409,
019945,LG-019945,Legrand késes aljzat 000/00 3P 160A M8 kalapsínre is rözíthető,24268,
019946,LG-019946,Legrand késes aljzat 0 1P 160A M8 kalapsínre is rögzíthető,29067,
019947,LG-019947,Legrand késes aljzat 0 1P 160A M8 kalapsínre is rögzíthető mikrokapcsolóval,32692,
019948,LG-019948,Legrand késes aljzat 1 1P 250A M10 kalapsínre is rögzíthető,18702,
019949,LG-019949,Legrand késes aljzat 1 1P 250A M10 kalapsínre is rögzíthető mikrokapcsolóval,43334,
019950,LG-019950,Legrand késes aljzat 2 1P 400A M10 kalapsínre is rögzíthető,23702,
019951,LG-019951,Legrand késes aljzat 2 1P 400A M10 kalapsínre is rögzíthető mk,59504,
019952,LG-019952,Legrand késes aljzat 3 1P 630A M12 kalapsínre is rögzíthető mikrokapcsolóval,68108,
019953,LG-019953,Legrand késes aljzat 4 1P 1250A M12 csak csavaros rögzítés mikrokapcsolóval,228388,
020000,LG-020000,XL3 160 univerzális sín,4340,
020002,LG-020002,XL3 160 2 sor 48 mod fém fali előszerelt elosztószekrény,149490,
020003,LG-020003,XL3 160 3 sor 72 mod fém fali előszerelt elosztószekrény,165267,
020004,LG-020004,XL3 160 4 sor 96 mod fém fali előszerelt elosztószekrény,198175,
020005,LG-020005,XL3 160 5 sor 120 mod fém fali előszerelt elosztószekrény,233974,
020006,LG-020006,XL3 160 6 sor 144 mod fém fali előszerelt elosztószekrény,266824,
020010,LG-020010,"XL3 160 rögzítés falhoz, XL3 160 süllyesztett elosztószekrényhez",36623,
020013,LG-020013,XL3 160 3 sor 72 mod süllyesztett elosztószekrény,166676,
020014,LG-020014,XL3 160 4 sor 96 mod süllyesztett elosztószekrény,179657,
